"id_OC"	"idSucursal"	"idProveedor"	"TipoDocumento"	"OrdenCompra"	"tipoCompra"	"idHES"	"HES"	"idDetRecpcion"	"posicionCompra"	"cantidad"	"costoUnitario"	"Subtotal"
"3181"	"1"	"100095"	"WE"	"COM-BDG-003181"	"1"	"3150"	"HES-BDG-003150"	"9136"	"13138"	"650"	"140"	"91000"
"3181"	"1"	"100095"	"WE"	"COM-BDG-003181"	"1"	"3151"	"HES-ANE-003151"	"9137"	"13134"	"25"	"275"	"6875"
"3181"	"1"	"100095"	"WE"	"COM-BDG-003181"	"1"	"3151"	"HES-ANE-003151"	"9138"	"13137"	"25"	"185"	"4625"
"3181"	"1"	"100095"	"WE"	"COM-BDG-003181"	"1"	"3151"	"HES-ANE-003151"	"9139"	"13138"	"500"	"140"	"70000"
"3180"	"1"	"100095"	"WE"	"COM-BDG-003180"	"1"	"3146"	"HES-BDG-003146"	"9130"	"13129"	"25"	"275"	"6875"
"3180"	"1"	"100095"	"WE"	"COM-BDG-003180"	"1"	"3146"	"HES-BDG-003146"	"9131"	"13130"	"25"	"185"	"4625"
"3180"	"1"	"100095"	"WE"	"COM-BDG-003180"	"1"	"3146"	"HES-BDG-003146"	"9132"	"13132"	"650"	"140"	"91000"
"3180"	"1"	"100095"	"WE"	"COM-BDG-003180"	"1"	"3147"	"HES-TPL-003147"	"9133"	"13132"	"500"	"140"	"70000"
"3179"	"1"	"100095"	"WE"	"COM-BDG-003179"	"1"	"3144"	"HES-BDG-003144"	"9120"	"13126"	"25"	"185"	"4625"
"3179"	"1"	"100095"	"WE"	"COM-BDG-003179"	"1"	"3144"	"HES-BDG-003144"	"9121"	"13127"	"550"	"140"	"77000"
"3179"	"1"	"100095"	"WE"	"COM-BDG-003179"	"1"	"3144"	"HES-BDG-003144"	"9122"	"13128"	"50"	"200"	"10000"
"3179"	"1"	"100095"	"WE"	"COM-BDG-003179"	"1"	"3145"	"HES-BDG-003145"	"9123"	"13126"	"25"	"185"	"4625"
"3179"	"1"	"100095"	"WE"	"COM-BDG-003179"	"1"	"3145"	"HES-BDG-003145"	"9124"	"13127"	"550"	"140"	"77000"
"3179"	"1"	"100095"	"WE"	"COM-BDG-003179"	"1"	"3145"	"HES-BDG-003145"	"9125"	"13128"	"50"	"200"	"10000"
"3178"	"1"	"100144"	"WE"	"COM-BDG-003178"	"1"	"3143"	"HES-BDG-003143"	"9119"	"13125"	"3000"	"174.5"	"523500"
"3175"	"1"	"100011"	"WE"	"COM-BDG-003175"	"1"	"3142"	"HES-ANE-003142"	"9118"	"13123"	"100"	"1110.29"	"111029"
